"CSSE 120 Introduction to Software Development   3R-3L-4C  F,W,S","CSSE 120 Introduction to Software Development   3R-3L-4C  F,W,SAn introduction to procedural and object-oriented programming with an emphasis on problem solving. Problems may include visualizing scientific or commercial data, interfacing with external hardware such as robots, or solving numeric problems from a variety of engineering disciplines. Procedural programming concepts covered include data types, variables, control structures, arrays, and data I/O. Object-oriented programming concepts covered include object creation and use, object interaction, and the design of simple classes. Software engineering concepts covered include testing, incremental development, understanding requirements, and teamwork."
"CSSE 132 Introduction to Computer Systems   3R-3L-4C  F,S  Prereq: CSSE 120","CSSE 132 Introduction to Computer Systems   3R-3L-4C  F,S  Prereq: CSSE 120Provides students with an understanding of system level issues and their impact on the design and use of computer systems. Examination of both hardware and software layers.  Basic computation structures and digital logic. Representation of instructions, integers, floating point numbers and other data types. System requirements, such as resource management, security, communication and synchronization, and their hardware and/or software implementation. Exploration of multiprocessor and distributed systems. Course topics will be explored using a variety of hands-on assignments and projects."
"CSSE 220 Object-Oriented Software Development   3R-3L-4C  F,W,S  Prereq: CSSE 120","CSSE 220 Object-Oriented Software Development   3R-3L-4C  F,W,S  Prereq: CSSE 120
Object-oriented programming concepts, including the use of inheritance, interfaces, polymorphism, abstract data types, and encapsulation to enable software reuse and assist in software maintenance. Recursion, GUIs and event handing. Use of common object-based data structures, including stacks, queues, lists, trees, sets, maps, and hash tables. Space/time efficiency analysis. Testing. Introduction to UML."
CSSE 221 Fundamentals of Software Development Honors   3R-3L-4C  F  Prereq: A score of 4 or 5 on the APCS A exam or permission of instructor,CSSE 221 Fundamentals of Software Development Honors   3R-3L-4C  F  Prereq: A score of 4 or 5 on the APCS A exam or permission of instructorThis course is intended for students who have sufficient programming experience to warrant placement in an accelerated course covering the topics from CSSE 120 and CSSE 220. This course will satisfy the prerequisite requirements for courses that have CSSE 220 as a prerequisite.
"CSSE 230 Data Structures and Algorithm Analysis   3R-3L-4C  W,S  Prereq: CSSE220 or CSSE 221 with a grade of C or better, and MA 112","CSSE 230 Data Structures and Algorithm Analysis   3R-3L-4C  W,S  Prereq: CSSE220 or CSSE 221 with a grade of C or better, and MA 112This course reinforces and extends students' understanding of current practices of producing object-oriented software. Students extend their use of a disciplined design process to include formal analysis of space/time efficiency and formal proofs of correctness. Students gain a deeper understanding of concepts from CSSE 220, including implementations of abstract data types by linear and non-linear data structures. This course introduces the use of randomized algorithms. Students design and implement software individually, in small groups, and in a challenging multi-week team project."
"CSSE 232 Computer Architecture I   3R-3L-4C  F, W  Prereq: CSSE132, or CSSE120 and ECE130","CSSE 232 Computer Architecture I   3R-3L-4C  F, W  Prereq: CSSE132, or CSSE120 and ECE130Computer instruction set architecture and implementation. Specific topics include historical perspectives, performance evaluation, computer organization, instruction formats, addressing modes, computer arithmetic, ALU design, floating-point representation, single-cycle and multi-cycle data paths, and processor control. Assembly language programming is used as a means of exploring instruction set architectures. The final project involves the complete design and implementation of a miniscule instruction set processor."
CSSE 241 Computing in a Global Society   2R-6L-4C  Arr Prereq: CSSE220 or CSSE221,"CSSE 241 Computing in a Global Society   2R-6L-4C  Arr Prereq: CSSE220 or CSSE221The ability to work with colleagues from other cultures and to work on international projects are key assets in today's job market. The centerpiece of this course is a real-world computing project that students develop in cooperation with peers from an institution of higher education in a foreign country. Exposes students to the procedures and complexities of working on projects that span many time-zones and cultures. Additionally, students examine the use and impact of computing in a global community. International travel is required; students will be expected to incur additional expenses (will vary depending on the project, institution, and country). May be repeated once (for free elective credit only) if the country involved is different."
CSSE290 Special Topics in Computer Science   1 - 4C  Arranged  Prereq: Permission of instructor.,CSSE290 Special Topics in Computer Science   1 - 4C  Arranged  Prereq: Permission of instructor.Selected topics of current interest. May be repeated for credit if topic is different.
CSSE 304 Programming Language Concepts   4R-0L-4C  S  Prereq: CSSE230 and MA275,"CSSE 304 Programming Language Concepts   4R-0L-4C  S  Prereq: CSSE230 and MA275Syntax and semantics of programming languages. Grammars, parsing, data types, control flow, parameter passing, run-time storage management, binding times, functional programming and procedural abstraction, syntactic extensions, continuations, language design and evaluation. Students will explore several language features by writing an interpreter that implements them."
"CSSE 325 Fractals and Chaotic Dynamical Systems   4R-0L-4C  Arranged  Prereq: CSSE220 or CSSE221, and MA212","CSSE 325 Fractals and Chaotic Dynamical Systems   4R-0L-4C  Arranged  Prereq: CSSE220 or CSSE221, and MA212Emphasis on the mathematical and computer graphics foundations behind fractal images and the relationship between chaotic dynamics and fractal geometry. Self-similar fractals, random fractals with Brownian motion, and fractals generated from dynamical systems. Fractal dimensions. Iterated Function Systems. Chaos in one-dimensional maps. Controlling chaos. Mandelbrot and Julia sets. Computer graphics. Same as MA 325."
